date,areaName,deathsRegistered
2021-02-26,Northern Ireland,55
2021-02-19,Northern Ireland,78
2021-02-12,Northern Ireland,99
2021-02-05,Northern Ireland,126
2021-01-29,Northern Ireland,137
2021-01-22,Northern Ireland,182
2021-01-15,Northern Ireland,153
2021-01-08,Northern Ireland,145
2021-01-01,Northern Ireland,93
2020-12-25,Northern Ireland,88
2020-12-18,Northern Ireland,82
2020-12-11,Northern Ireland,87
2020-12-04,Northern Ireland,98
2020-11-27,Northern Ireland,81
2020-11-20,Northern Ireland,100
2020-11-13,Northern Ireland,96
2020-11-06,Northern Ireland,82
2020-10-30,Northern Ireland,51
2020-10-23,Northern Ireland,42
2020-10-16,Northern Ireland,17
2020-10-09,Northern Ireland,11
2020-10-02,Northern Ireland,2
2020-09-25,Northern Ireland,9
2020-09-18,Northern Ireland,8
2020-09-11,Northern Ireland,7
2020-09-04,Northern Ireland,3
2020-08-28,Northern Ireland,4
2020-08-21,Northern Ireland,6
2020-08-14,Northern Ireland,4
2020-08-07,Northern Ireland,5
2020-07-31,Northern Ireland,1
2020-07-24,Northern Ireland,7
2020-07-17,Northern Ireland,2
2020-07-10,Northern Ireland,9
2020-07-03,Northern Ireland,11
2020-06-26,Northern Ireland,12
2020-06-19,Northern Ireland,17
2020-06-12,Northern Ireland,21
2020-06-05,Northern Ireland,20
2020-05-29,Northern Ireland,49
2020-05-22,Northern Ireland,53
2020-05-15,Northern Ireland,74
2020-05-08,Northern Ireland,84
2020-05-01,Northern Ireland,124
2020-04-24,Northern Ireland,128
2020-04-17,Northern Ireland,101
2020-04-10,Northern Ireland,76
2020-04-03,Northern Ireland,55
2020-03-27,Northern Ireland,9
2020-03-20,Northern Ireland,1
2020-03-13,Northern Ireland,0
2020-03-06,Northern Ireland,0
2020-02-28,Northern Ireland,0
2020-02-21,Northern Ireland,0
2020-02-14,Northern Ireland,0
2020-02-07,Northern Ireland,0
2020-01-31,Northern Ireland,0
2020-01-24,Northern Ireland,0
2020-01-17,Northern Ireland,0
2020-01-10,Northern Ireland,0
2020-01-03,Northern Ireland,0
