date,areaName,deathsRegistered
2020-01-03,Scotland,0
2020-01-10,Scotland,0
2020-01-17,Scotland,0
2020-01-24,Scotland,0
2020-01-31,Scotland,0
2020-02-07,Scotland,0
2020-02-14,Scotland,0
2020-02-21,Scotland,0
2020-02-28,Scotland,0
2020-03-06,Scotland,0
2020-03-13,Scotland,0
2020-03-20,Scotland,11
2020-03-27,Scotland,62
2020-04-03,Scotland,282
2020-04-10,Scotland,609
2020-04-17,Scotland,650
2020-04-24,Scotland,662
2020-05-01,Scotland,527
2020-05-08,Scotland,415
2020-05-15,Scotland,336
2020-05-22,Scotland,230
2020-05-29,Scotland,131
2020-06-05,Scotland,89
2020-06-12,Scotland,68
2020-06-19,Scotland,49
2020-06-26,Scotland,36
2020-07-03,Scotland,19
2020-07-10,Scotland,13
2020-07-17,Scotland,6
2020-07-24,Scotland,8
2020-07-31,Scotland,6
2020-08-07,Scotland,5
2020-08-14,Scotland,3
2020-08-21,Scotland,6
2020-08-28,Scotland,7
2020-09-04,Scotland,2
2020-09-11,Scotland,5
2020-09-18,Scotland,11
2020-09-25,Scotland,10
2020-10-02,Scotland,20
2020-10-09,Scotland,25
2020-10-16,Scotland,76
2020-10-23,Scotland,106
2020-10-30,Scotland,168
2020-11-06,Scotland,207
2020-11-13,Scotland,279
2020-11-20,Scotland,246
2020-11-27,Scotland,252
2020-12-04,Scotland,232
2020-12-11,Scotland,226
2020-12-18,Scotland,208
2020-12-25,Scotland,200
2021-01-01,Scotland,183
2021-01-08,Scotland,391
2021-01-15,Scotland,368
