Code,Name,Geography,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
K02000001,UNITED KINGDOM,Country,66040229,763201,789285,790680,799076,818499,844567,832406,815974,807286,813213,786380,770123,740831,728082,707970,697784,717803,738544,765845,784259,816601,823515,831032,864487,871599,902454,923198,907722,899739,908875,886368,892993,893238,872012,877673,876648,883963,883310,847662,790619,778105,792530,807917,822046,858769,895793,924750,903195,925425,925768,938170,936983,944080,934498,914385,893629,862999,827799,809151,790735,761034,732885,705006,704909,694830,672855,675800,686919,701792,736232,793207,609960,587311,582014,538571,478088,427056,436673,426851,408269,381286,355285,329024,296722,272804,254442,231256,204422,175064,147643,579776
K03000001,GREAT BRITAIN,Country,64169395,739515,764552,766029,774358,793286,818505,806521,790415,781394,787314,761672,746576,717892,705392,685732,675520,695360,715268,741465,761004,793500,800482,807815,840742,848037,877994,898469,883016,875053,883829,861168,867642,868223,847310,853219,852160,858920,858359,823639,767703,755336,769738,784615,798111,833909,870542,899016,877434,899386,899231,911755,910591,917202,908097,888649,868535,838333,804208,786256,768168,739492,712249,685377,685715,676053,654837,657849,669035,684151,718742,775839,593932,571609,566554,523851,465052,415478,425624,415846,398139,371590,346497,320911,289442,265920,248306,225760,199669,170824,144157,566733
K04000001,ENGLAND AND WALES,Country,58744595,685962,708660,709239,716997,734776,758504,744626,731404,720770,726894,703615,689736,661535,650149,632132,622232,639766,658249,681700,696630,724819,730876,737121,767767,773384,799339,819986,807654,800172,808962,788597,795698,796862,778153,783172,781256,788522,789398,756923,705629,694441,705563,719940,732467,764265,796646,822303,801748,820681,819161,831024,830526,834293,826280,807122,788955,760609,729117,711952,695981,669365,644391,620534,621912,613673,594818,597523,608711,622719,655777,708036,543240,524111,518471,478397,423719,377731,387652,379415,363360,339377,316336,293080,264304,243370,227177,207325,183829,157178,133116,525008
E92000001,ENGLAND,Country,55619430,653467,674807,675045,682356,699250,721708,707075,694480,684370,689769,667818,654366,627407,616975,599472,589606,605724,623262,645133,657005,683225,689511,696484,725250,731671,757328,777368,766804,760183,769941,750908,758385,759405,742057,746645,745156,751170,751999,721545,672773,661552,672434,685495,696865,726412,756155,779708,760419,777432,776394,787115,786693,789137,781098,763153,745219,718187,688112,671436,656080,630542,607135,584177,584568,576498,558618,561050,571179,584410,615389,665499,510863,492182,487021,448970,396976,353696,364242,356752,341754,319364,297652,275694,248408,228736,214145,195523,173368,148227,125549,495244
E12000001,NORTH EAST,Region,2644727,28036,28959,28863,29691,30547,31551,31641,31215,30272,30872,29799,30028,28253,27774,27084,26675,27438,28713,30512,34877,36558,37060,35909,35764,35594,37414,37003,34953,33890,33860,32876,33869,33034,31917,32084,31621,31905,32250,30922,27936,27118,28726,29132,29668,31864,34504,36423,35102,35721,36355,37488,38290,39242,38815,38922,38507,36793,35748,36043,35840,34189,32748,31348,31216,30803,29674,29958,30416,31035,32313,34942,26285,25154,24327,21659,19867,18423,19015,18786,18144,16918,15153,14452,12825,11738,10746,9869,8479,6978,5775,21972
E06000047,County Durham,Unitary Authority,523662,5181,5374,5467,5706,5857,5862,6129,6078,5723,6000,5762,5702,5517,5277,5259,5005,5173,5468,6093,7580,7790,7502,7030,6794,6731,7187,7075,6503,5948,5850,5766,6220,6168,5954,6311,6126,6010,6100,5833,5423,5201,5480,5623,5748,6408,6872,7426,7087,7510,7655,7836,7945,8039,8074,7835,7793,7398,7042,7313,7097,6937,6642,6529,6342,6417,6176,6330,6398,6597,6714,7426,5616,5538,5398,4649,4227,3950,3939,3828,3693,3488,3017,2879,2524,2278,2009,1955,1619,1372,1105,4154
E06000005,Darlington,Unitary Authority,106347,1114,1212,1223,1238,1318,1378,1275,1344,1330,1295,1269,1328,1218,1253,1200,1149,1112,1220,1203,985,945,1008,1115,1197,1076,1301,1335,1238,1258,1357,1285,1276,1289,1327,1266,1286,1360,1388,1361,1218,1164,1235,1294,1352,1360,1458,1553,1569,1477,1488,1565,1661,1644,1517,1599,1588,1536,1377,1433,1434,1286,1305,1191,1207,1220,1167,1178,1183,1261,1264,1424,1106,1063,987,848,809,760,780,836,746,700,640,634,526,530,444,384,346,311,259,1098
E06000001,Hartlepool,Unitary Authority,93019,1016,1096,1060,1108,1123,1185,1214,1193,1165,1179,1171,1148,1074,1032,1034,988,1108,1156,1111,955,1013,1034,1168,1175,1112,1307,1256,1132,1169,1271,1268,1177,1167,1139,1081,1126,1067,1075,1038,912,943,989,982,1001,1169,1179,1307,1263,1246,1273,1407,1410,1457,1376,1410,1421,1381,1261,1313,1212,1205,1113,1122,1013,1061,1070,1023,1061,1114,1099,1154,883,838,746,673,689,567,653,636,658,633,531,528,458,443,388,335,303,247,196,776
E06000002,Middlesbrough,Unitary Authority,140639,1964,1881,1968,1972,2036,1957,1990,1905,1747,1824,1779,1817,1653,1618,1502,1517,1607,1659,1761,2095,2433,2495,2293,2390,2405,2326,2163,2124,2087,2102,1844,1950,1839,1783,1775,1681,1651,1588,1503,1447,1374,1481,1529,1547,1602,1645,1765,1696,1601,1711,1746,1857,1960,1836,1842,1985,1795,1728,1731,1756,1688,1595,1540,1464,1469,1343,1336,1320,1274,1389,1473,1113,1040,987,946,903,842,825,818,850,749,718,673,586,586,456,475,394,315,259,895
E06000057,Northumberland,Unitary Authority,319030,2862,2989,2865,3035,3234,3355,3399,3479,3331,3567,3264,3475,3346,3414,3233,3356,3306,3416,3491,2746,2663,2917,2958,2986,3255,3404,3462,3270,3208,3458,3259,3373,3440,3250,3219,3370,3397,3663,3631,3199,3191,3373,3545,3573,3840,4083,4547,4278,4474,4553,4730,4769,5167,5172,5076,5024,4972,5051,5055,4940,4721,4656,4482,4532,4422,4421,4533,4582,4693,5033,5262,3951,3877,3731,3360,2915,2764,2758,2660,2476,2373,2136,2095,1786,1620,1495,1354,1200,988,810,3386
