date,total_occurrences
2018-08-01,1131
2018-08-02,1167
2018-08-03,1301
2018-08-04,1223
2018-08-05,1249
2018-08-06,1228
2018-08-07,1259
2018-08-08,1106
2018-08-09,1142
2018-08-10,1148
2018-08-11,1089
2018-08-12,1175
2018-08-13,1224
2018-08-14,1130
2018-08-15,1166
2018-08-16,1162
2018-08-17,1152
2018-08-18,1199
2018-08-19,1132
2018-08-20,1258
2018-08-21,1230
2018-08-22,1163
2018-08-23,1116
2018-08-24,1071
2018-08-25,1089
2018-08-26,1136
2018-08-27,1179
2018-08-28,1207
2018-08-29,1181
2018-08-30,1102
2018-08-31,1159
2018-09-01,1211
2018-09-02,1232
2018-09-03,1239
2018-09-04,1139
2018-09-05,1140
2018-09-06,1145
2018-09-07,1151
2018-09-08,1238
2018-09-09,1277
2018-09-10,1234
2018-09-11,1243
2018-09-12,1201
2018-09-13,1174
2018-09-14,1180
2018-09-15,1205
2018-09-16,1172
2018-09-17,1289
2018-09-18,1273
2018-09-19,1310
2018-09-20,1178
2018-09-21,1215
2018-09-22,1158
2018-09-23,1106
2018-09-24,1253
2018-09-25,1255
2018-09-26,1233
2018-09-27,1321
2018-09-28,1264
2018-09-29,1245
2018-09-30,1209
2018-10-01,1218
2018-10-02,1328
2018-10-03,1285
2018-10-04,1180
2018-10-05,1319
2018-10-06,1224
2018-10-07,1188
2018-10-08,1318
2018-10-09,1327
2018-10-10,1352
2018-10-11,1292
2018-10-12,1316
2018-10-13,1345
2018-10-14,1288
2018-10-15,1260
2018-10-16,1270
2018-10-17,1164
2018-10-18,1225
2018-10-19,1212
2018-10-20,1240
2018-10-21,1242
2018-10-22,1209
2018-10-23,1197
2018-10-24,1263
2018-10-25,1297
2018-10-26,1288
2018-10-27,1219
2018-10-28,1291
2018-10-29,1360
2018-10-30,1355
2018-10-31,1326
2018-11-01,1422
2018-11-02,1311
2018-11-03,1360
2018-11-04,1300
2018-11-05,1348
2018-11-06,1364
2018-11-07,1300
2018-11-08,1351
2018-11-09,1392
2018-11-10,1303
2018-11-11,1360
2018-11-12,1303
2018-11-13,1289
2018-11-14,1358
2018-11-15,1328
